NAME                                VERSION            TYPE                      
marsdb                              0.6.11             npm                       
math-interval-parser                2.0.1              npm                       
math-intrinsics                     1.1.0              npm                       
media-typer                         0.3.0              npm                       
media-types                         10.0.0             deb                       
median                              0.0.2              npm                       
merge-descriptors                   1.0.3              npm                       
messageformat                       2.3.0              npm                       
messageformat-formatters            2.0.1              npm                       
messageformat-parser                4.1.3              npm                       
methods                             1.1.2              npm                       
micromatch                          3.1.10             npm                       
micromatch                          4.0.8              npm     (+1 duplicate)    
mime                                1.6.0              npm                       
mime-db                             1.52.0             npm                       
mime-types                          2.1.35             npm                       
mimic-response                      1.0.1              npm                       
mimic-response                      2.1.0              npm                       
mimic-response                      3.1.0              npm     (+1 duplicate)    
minami                              1.1.1              npm     (+2 duplicates)   
minimatch                           3.0.5              npm                       
minimatch                           3.0.8              npm                       
minimatch                           3.1.2              npm     (+8 duplicates)   
minimatch                           5.1.6              npm                       
minimatch                           9.0.5              npm                       
minimist                            0.2.4              npm                       
minimist                            1.2.8              npm                       
minipass                            2.9.0              npm                       
minipass                            3.3.6              npm     (+3 duplicates)   
minipass                            5.0.0              npm                       
minipass                            7.1.2              npm                       
minipass-collect                    1.0.2              npm                       
minipass-collect                    2.0.1              npm                       
minipass-fetch                      1.4.1              npm                       
minipass-fetch                      4.0.1              npm                       
minipass-flush                      1.0.5              npm                       
minipass-pipeline                   1.2.4              npm                       
minipass-sized                      1.0.3              npm                       
minizlib                            1.3.3              npm                       
minizlib                            2.1.2              npm                       
minizlib                            3.0.2              npm                       
mixin-deep                          1.3.2              npm                       
mkdirp                              0.5.6              npm     (+2 duplicates)   
mkdirp                              1.0.4              npm                       
mkdirp                              3.0.1              npm     (+1 duplicate)    
mkdirp-classic                      0.5.3              npm                       
moment                              2.0.0              npm                       
moment                              2.30.1             npm                       
moment-timezone                     0.5.48             npm                       
morgan                              1.10.1             npm                       
mout                                1.2.4              npm                       
ms                                  2.0.0              npm     (+8 duplicates)   
ms                                  2.1.3              npm                       
multer                              1.4.5-lts.2        npm                       
mustache                            4.2.0              npm                       
mylib                               0.0.0              npm                       
nan                                 2.22.2             npm                       
nanomatch                           1.2.13             npm                       
napi-build-utils                    1.0.2              npm                       
napi-build-utils                    2.0.0              npm     (+1 duplicate)    
needle                              2.9.1              npm                       
negotiator                          0.6.3              npm                       
negotiator                          0.6.4              npm                       
negotiator                          1.0.0              npm                       
neo-async                           2.6.2              npm                       
netbase                             6.4                deb                       
node                                22.18.0            binary                    
node-abi                            2.30.1             npm                       
node-abi                            3.77.0             npm     (+1 duplicate)    
node-addon-api                      7.1.1              npm                       
node-fetch                          2.7.0              npm                       
node-gyp                            11.4.2             npm                       
node-gyp                            8.4.1              npm                       
node-pre-gyp                        0.15.0             npm                       
noop-logger                         0.1.1              npm                       
nopt                                3.0.6              npm                       
nopt                                4.0.3              npm     (+1 duplicate)    
nopt                                5.0.0              npm                       
nopt                                8.1.0              npm                       
normalize-path                      2.1.1              npm                       
normalize-path                      3.0.0              npm     (+1 duplicate)    
normalize-url                       2.0.1              npm                       
notevil                             1.3.3              npm                       
npm-bundled                         1.1.2              npm                       
npm-normalize-package-bin           1.0.1              npm                       
npm-packlist                        1.4.8              npm                       
npmlog                              4.1.2              npm                       
npmlog                              6.0.2              npm                       
number-is-nan                       1.0.1              npm                       
nw-pre-gyp-module-test              0.0.1              npm                       
object-assign                       4.1.1              npm                       
object-copy                         0.1.0              npm                       
object-inspect                      1.13.4             npm                       
object-is                           1.1.6              npm                       
object-keys                         1.1.1              npm                       
object-visit                        1.0.1              npm                       
object.assign                       4.1.7              npm                       
object.defaults                     1.1.0              npm                       
object.map                          1.0.1              npm                       
object.pick                         1.3.0              npm                       
on-finished                         2.3.0              npm                       
on-finished                         2.4.1              npm                       
on-headers                          1.1.0              npm                       
once                                1.4.0              npm                       
one-time                            1.0.0              npm                       
opentype.js                         0.7.3              npm                       
os-homedir                          1.0.2              npm                       
os-tmpdir                           1.0.2              npm                       
osenv                               0.1.5              npm                       
otplib                              12.0.1             npm                       
p-cancelable                        0.4.1              npm                       
p-event                             2.3.1              npm                       
p-finally                           1.0.0              npm                       
p-is-promise                        1.1.0              npm                       
p-limit                             2.3.0              npm                       
p-locate                            4.1.0              npm                       
p-map                               4.0.0              npm                       
p-map                               7.0.3              npm                       
p-timeout                           2.0.1              npm                       
p-try                               2.2.0              npm                       
package-json-from-dist              1.0.1              npm                       
pako                                0.2.9              npm                       
parse-filepath                      1.0.2              npm                       
parse-passwd                        1.0.0              npm                       
parseurl                            1.3.3              npm                       
pascalcase                          0.1.1              npm                       
path-exists                         4.0.0              npm                       
path-is-absolute                    1.0.1              npm                       
path-key                            3.1.1              npm                       
path-parse                          1.0.7              npm                       
path-root                           0.1.1              npm                       
path-root-regex                     0.1.2              npm                       
path-scurry                         1.11.1             npm                       
